"","logFC","logCPM","PValue","FDR"
"Q6J756",2.99519892178333,2.51275598309811,3.87209394714297e-13,7.67758787839507e-09
"Q9CXI3",-1.16256948014666,3.92940335333824,3.99170590913081e-09,3.95737723831228e-05
"G3X8T9",0.801884564821546,6.27121295238168,8.92276817042079e-09,5.07102267257431e-05
"ENSMUST00000195589.6",1.96574682471264,2.65387219826433,1.02300235476585e-08,5.07102267257431e-05
"P08905",1.08367199097278,5.92809320866394,3.69517770400087e-08,0.000146535967029858
"P01029",0.806345905438933,7.36770720969016,4.66150933637374e-08,0.000154047345202697
"Q9Z2Y3",-0.78692716850691,7.86484740160785,7.90192395734278e-08,0.000216466593847526
"Q99N08",1.60184371331503,1.46536982638883,8.73377421212531e-08,0.000216466593847526
"P21237",-1.92624891673735,0.977040106023664,2.07407440045013e-07,0.00045694163569028
"Q9CQN4",-0.990444937930092,3.00521760027832,5.60760969670026e-07,0.00111187685066173
"ENSMUST00000211992.2",0.731309837814273,7.14650513282303,6.39208831166622e-07,0.00115220297312471
"Q6NS65",-1.03332176390327,6.0586456749823,1.01552995010261e-06,0.00167799398755288
"Q5QNW0",1.79842111379416,0.968209405399054,1.35259882283223e-06,0.00206302534300904
"Q3UAD6",-0.748551860885873,5.43284087085268,2.6063335320773e-06,0.00349690121160184
"ENSMUST00000221429.2",1.22540154120198,3.05537182814562,2.64542657726587e-06,0.00349690121160184
"Q9D387",-1.20806070237954,1.8013133258825,3.05446213710143e-06,0.00371596711567357
"Q61093",1.25433767808375,2.93596038818715,3.18597140238303e-06,0.00371596711567357
"ENSMUST00000238260.3",1.35312935094045,1.89572112301686,4.23710416557997e-06,0.0046674056330622
"Q61107",1.41954814332375,4.3353460577393,6.02235577842489e-06,0.00628480370392677
"Q64389",1.34645803262021,2.13764873659631,7.8996698322912e-06,0.0078317326717335
"ENSMUST00000155910.3",0.698903979022033,6.4704803217136,8.45455901659903e-06,0.00798271410386312
"Q9Z0I6",0.883603308573428,3.19514159355578,9.00736081844662e-06,0.00811808865037089
"Q8C253",1.34586618291767,1.68461502799778,9.63493237194676e-06,0.00830614952482437
"Q9QZ85",1.66272345493669,4.02678928340317,1.06037903252047e-05,0.00876049810700661
