"","logFC","logCPM","PValue","FDR"
"Q8BGX3",-3.20478718722218,3.74564678182327,3.8412485744925e-21,4.4339532295367e-17
"Q3U962",-3.31705245070459,8.41868024796896,1.02731639710066e-20,5.92915658586645e-17
"E9Q0W2",3.00891371524006,4.72333418970795,1.47422146503496e-18,5.67231279029953e-15
"P05533",-2.20534028403226,5.23743474348127,1.31778199639776e-16,3.80278939610485e-13
"ENSMUST00000211748.2",-5.88295870072946,2.25529636768533,1.51081034663902e-15,3.41010709588419e-12
"Q8K4K2",-2.97731783568318,3.34201566345367,1.77800424821445e-15,3.41010709588419e-12
"Q9D566",-4.55690720341303,3.03374249416599,2.06798489744342e-15,3.41010709588419e-12
"Q61699",2.99822621043754,2.99378152687344,1.76496401084672e-14,2.44640498232354e-11
"ENSMUST00000148206.2",4.11194192434974,1.95993212324376,1.90744562426681e-14,2.44640498232354e-11
"Q9QXH4",-2.503354930051,3.57215525150883,4.19632319131416e-14,4.33318304145514e-11
"A0A0B4J1G0",-1.93596144498129,5.45624998756324,4.29285116626002e-14,4.33318304145514e-11
"Q91YX0",-1.91732953878336,5.20608717716003,4.50473849930363e-14,4.33318304145514e-11
"Q9Z0D9",-2.72277194239812,3.33101267602128,6.85770248602541e-14,6.08911229201472e-11
"Q91WH2",4.18499957014001,3.7599497866183,1.15576452384542e-13,9.52927849910549e-11
"Q05144",-1.92952194298595,4.60111465781943,1.379476727782e-13,1.06155332458584e-10
"Q3UQA2",-2.54532063299562,3.27206050465651,1.85982330823763e-13,1.31636007605185e-10
"O09126",-2.21416249279494,3.7287203197061,1.9386746333606e-13,1.31636007605185e-10
"ENSMUST00000218034.2",-2.81712107607539,3.0885767214033,3.48567515008965e-13,2.23528601430471e-10
"P63072",-2.9720262368393,3.29896384023779,4.86993282742281e-13,2.9586123487864e-10
"ENSMUST00000246067.1",5.98373169517714,6.58358495149521,5.31522078285226e-13,3.06767967482318e-10
"Q8VDH1",-1.82967452118963,6.56229371105887,8.65139826741236e-13,4.75538524765433e-10
"Q3UN27",-3.43997247275222,1.45906669082985,1.54746781446371e-12,8.11928226470662e-10
"Q80Y52",2.22765768027096,3.56916825580381,2.22590897647677e-12,1.11711597023789e-09
"P15392",-4.35982722612545,3.14413189744552,3.16100523449296e-12,1.52031180923968e-09
"Q8C767",1.98728239398978,8.60267601241187,3.68307369311322e-12,1.70054878558424e-09
