"","logFC","logCPM","PValue","FDR"
"Q6J756",3.02233405511258,2.48952177842801,1.27976103442231e-13,2.59727501936007e-09
"Q9CXI3",-1.14659344625588,3.92744361979551,6.3676956722181e-09,6.46161918338332e-05
"G3X8T9",0.793734945761048,6.29033468894537,1.54454809331729e-08,0.000104488678512915
"Q99N08",1.70890323311393,1.45164994373299,2.56722764031468e-08,0.000130254712400466
"P01029",0.800299720176305,7.48110736758477,6.34638455009105e-08,0.000257599748888196
"Q9Z2Y3",-0.783159716577402,7.85964236751035,1.04051167422176e-07,0.000298779496604721
"ENSMUST00000195589.6",1.91775768447535,2.62090524259535,1.09014274405128e-07,0.000298779496604721
"P08905",1.04205158333526,5.9528885162159,1.17774622953327e-07,0.000298779496604721
"P21237",-1.85572365129883,0.998304143543565,2.11338455496222e-07,0.000476568217143981
"ENSMUST00000211992.2",0.738847657537833,7.09150274075304,3.73608049454704e-07,0.000758237536368321
"Q9CQN4",-1.0086954544461,2.9939165397223,5.45176143739579e-07,0.00100584998519952
"E9Q422",-2.59624739595787,1.37667119796489,9.82192287547914e-07,0.00166113270631541
"Q6NS65",-1.0275967126779,6.04678362941133,1.11583733348808e-06,0.00174199374485697
"Q61093",1.27708872721213,2.90042609261585,1.32593531527761e-06,0.00192213265882565
"Q5QNW0",1.7589611199527,0.946749102015196,3.11846220801174e-06,0.00421927936743989
"Q9D387",-1.19243715046186,1.79960237044238,3.89839353122156e-06,0.00494486854475884
"Q3UAD6",-0.744559492226613,5.41524195350214,4.39445139642465e-06,0.00524619947590814
"P60322",1.19649263945033,1.90167133170695,5.06503678378181e-06,0.00529102497732259
"Q9Z0I6",0.908566246453701,3.20840499261023,5.14941626254592e-06,0.00529102497732259
"Q61107",1.41480758641656,4.33668824252417,5.32989144203541e-06,0.00529102497732259
"Q8C253",1.39764957777605,1.69223539308633,5.51900983270088e-06,0.00529102497732259
"ENSMUST00000221429.2",1.21013761248614,3.0344305819498,5.73552843070199e-06,0.00529102497732259
"ENSMUST00000155910.3",0.703189459992422,6.45416933407018,6.65226271403674e-06,0.00586989877310329
"Q64389",1.37703657646739,2.13733058278232,9.59639034606702e-06,0.00811494758639293
"P47806",0.827836656068343,3.41163763580857,1.06828267677822e-05,0.00867231877008555
"P03995",0.904677837384548,9.76990820510094,1.17210341515524e-05,0.00914916877329831
"Q60629",-0.708330930657332,5.12809847501618,1.55301012630495e-05,0.0115291672533147
"Q9QZ85",1.62729630684108,4.02922659792195,1.59062174472931e-05,0.0115291672533147
"ENSMUST00000113886.3",1.19540817063885,2.92550493985905,1.72569860112986e-05,0.0120769148654933
"Q5FW97",-0.886788662897853,4.00435444066564,1.87029560264082e-05,0.0126525497518652
"Q60766",0.938072505356733,5.02859410114394,1.96431053159043e-05,0.0128598974963316
"P02798",0.62796564491763,6.40479653720298,2.0341192779624e-05,0.0128684527974348
"G5E874",-0.881937172082042,4.68351390738567,2.09243134917639e-05,0.0128684527974348
"ENSMUST00000238260.3",1.30456330794871,1.84238662554555,2.53088974857729e-05,0.0151071786609929
"O70340",-0.835757004191831,6.7508173085373,3.03594986775732e-05,0.0176041721617528
"ENSMUST00000138584.8",0.855894196584606,3.11854142205428,3.26733137697082e-05,0.018419580637673
"A0A3B2WD59",-1.24727619992045,1.52875159636297,3.37574639572463e-05,0.018516425162495
"Q9QYS2",-0.56950853296734,7.06028651377844,3.9623519992415e-05,0.0211620878485806
"Q62010",0.783805308395749,3.2083107081367,4.38192171573762e-05,0.0228028464668962
"ENSMUST00000138238.8",1.05592002771297,2.07958970512823,4.65358824256529e-05,0.0229383987385116
"ENSMUST00000098653.3",0.980550708320887,2.47565562754697,4.72224821543334e-05,0.0229383987385116
"G3UZP7",1.71981401606191,0.495927049320005,4.74704482393441e-05,0.0229383987385116
"ENSMUST00000186665.7",-1.17493370613107,1.76009275810471,5.3840769830966e-05,0.0254115912492897
"ENSMUST00000121422.2",0.99502146890316,3.36353646615043,5.93290195424829e-05,0.0273655102639702
"A2AT37",-0.653309564698858,5.99597521871432,6.14611367458297e-05,0.0277189726723692
"ENSMUST00000149527.2",-1.21294493553188,1.23969663313934,6.56805435588447e-05,0.0277715841420064
"E9QMC2",-0.573668643676848,7.65133212644952,6.60357830558353e-05,0.0277715841420064
"A6XDB0",-1.2890936638188,1.28003902333793,6.610257075442e-05,0.0277715841420064
"G3UW60",-0.742940137964216,4.01975542647708,6.7346484602556e-05,0.0277715841420064
"ENSMUST00000041011.4",-1.21756109734801,1.24182429220774,6.84197687657217e-05,0.0277715841420064
"Q80YX1",-0.911979942925423,2.9751808269958,7.04942677477318e-05,0.0278868774566069
"Q80TM6",-1.30698253259367,1.09828196674375,7.34366836317676e-05,0.0278868774566069
"A0A0B4J1G0",1.92979456481701,1.13135473553742,7.39613188651107e-05,0.0278868774566069
"Q9WV38",-0.791572074913385,2.83401229255391,7.42001174011714e-05,0.0278868774566069
"ENSMUST00000145125.2",1.02944445100666,2.27454671954143,8.34550590209004e-05,0.0302785455052005
"ENSMUST00000209635.2",-2.00443855677256,0.0921906750029124,8.45899800869171e-05,0.0302785455052005
"D3YZZ4",0.588046519514093,5.61849715213423,8.50395217440959e-05,0.0302785455052005
"Q80ZF8",-0.768983761402571,3.92798161614496,8.86129497452406e-05,0.0310068933634424
"ENSMUST00000181587.2",-0.643770162211579,6.72764939812616,9.09377869578578e-05,0.0310599947501472
"Q64464",1.01177435011239,2.34415435301405,9.30740464392403e-05,0.0310599947501472
"Q544D6",-0.665439694034504,8.92217849868011,9.33559832352293e-05,0.0310599947501472
"Q920E3",-0.676090269755435,5.23016151914057,9.73321339614881e-05,0.0314859749528448
"P01887",0.581159686072639,8.2685382278997,9.77391683680327e-05,0.0314859749528448
"Q80T62",-0.951385076583747,5.27453174856668,0.000120027691336151,0.0380619061822997
"A0A1Y7VL11",0.688846759910028,3.7632796325207,0.000124358287971937,0.0388284839136993
"P0DOV2",1.19220952135146,1.47344338009885,0.000134250179887651,0.0412819303154527
"Q8BGE9",-0.957811399363256,3.23290473642348,0.000142863683585186,0.0432749023636023
"G3X8Y8",0.781976149811276,2.9580246710162,0.000145774600069419,0.0433118090462029
"ENSMUST00000124974.2",1.09444286116385,1.52593867859131,0.000149329211316277,0.0433118090462029
"Q8VHE6",-0.779240568960808,3.99228735751605,0.000151128196677098,0.0433118090462029
"G1K381",-0.685819009473073,4.7767965844927,0.000151521973012092,0.0433118090462029
"ENSMUST00000143243.2",1.47941781894205,0.96179002520531,0.000155346787091299,0.0434176842844873
"V9GWU6",-0.899288063848426,2.43275996617491,0.000156857138189782,0.0434176842844873
"Q9JMF3",0.680954812128588,5.36984020849134,0.000158310354129197,0.0434176842844873
"Q7TN16",-0.603070483603466,4.95248534314712,0.000165419726778905,0.0447625780663717
"Q05AC1",-0.649545907898505,5.36379547636615,0.000170675195177875,0.0449408020024951
"Q6P5F6",-0.573725445378477,7.95790038091471,0.000171991361167775,0.0449408020024951
"Q60772",0.951735412622007,2.18003306696547,0.000174535864609572,0.0449408020024951
"ENSMUST00000140347.2",1.05420763984749,1.97051011554791,0.000175959023612408,0.0449408020024951
"Q9JLF1",-1.77116510700665,0.268206720091286,0.000179227772322281,0.0449408020024951
"Q5S006",-0.757626831558309,5.83300292699661,0.000179758202766855,0.0449408020024951
"O89098",1.79233330923554,1.54819953016521,0.000181578997989879,0.0449408020024951
"Q5DTY9",-0.611610188815855,3.98285916632595,0.000195825160014674,0.0475917515209018
"E9PY62",-0.699345514480687,4.56617419274945,0.000196979902821175,0.0475917515209018
"Q3UED7",1.64652923952302,1.91016539243264,0.000216234861680124,0.0510716823553739
"ENSMUST00000159239.8",1.40358569900715,0.768275614485949,0.000218729226149359,0.0510716823553739
"ENSMUST00000144016.8",0.701357852786213,4.73585023495244,0.000218932562942475,0.0510716823553739
"Q3U5H0",1.10919671389301,3.7585430994199,0.00023120910723955,0.0533226003571211
"Q64345",0.697675751402367,4.62212854922291,0.000243358956017738,0.0542604883870379
"P05063",0.575296031846463,6.35438888223495,0.000245231199133433,0.0542604883870379
"Q2EMV9",0.670405252078691,4.06787578611163,0.000245238179820224,0.0542604883870379
"ENSMUST00000136027.2",-1.1693342570126,2.1151684568028,0.000245970186331978,0.0542604883870379
"Q6NS52",-0.517634718522179,7.87241779461116,0.000251643035774546,0.0545750884575633
"F7BWM9",0.673208680594599,3.95856073274041,0.000252774491993641,0.0545750884575633
"ENSMUST00000125203.8",1.22153056518677,1.16562131425718,0.000269701813427535,0.0574894773839692
"P14211",-0.574292227288766,6.38171339569484,0.000271938400042426,0.0574894773839692
"Q0V8T9",-0.64255654639276,6.99486210581056,0.00028856654177768,0.0603758553131753
"ENSMUST00000244647.1",-0.958625986090778,2.15592279876612,0.00031096948288762,0.0643992413796351
"P58391",-0.647205844257574,4.15785773733821,0.000325075015710485,0.0651072495562093
"ENSMUST00000180899.2",-0.961990626597458,2.39473043292693,0.000325614421435312,0.0651072495562093
"ENSMUST00000127786.4",1.75844462667039,0.412897347399156,0.000326029100744776,0.0651072495562093
"ENSMUST00000197031.2",1.35473091890108,0.991683063948581,0.000327616028064914,0.0651072495562093
"P70232",-0.650491633450452,7.76286304380843,0.000333138782383054,0.0651072495562093
"ENSMUST00000198239.2",1.22692683484322,1.26453805178416,0.000333636558455076,0.0651072495562093
"G3X942",-0.695141472835659,6.18579399875213,0.00034017083380626,0.06575016259141
"A2ADM8",-0.680947498567909,6.21065699903681,0.000350463018717671,0.0671004430648597
"Q53WT3",-0.592345511837137,8.58696297669937,0.000361325175104552,0.067980854008861
"P01193",2.6214451203119,3.64186128900318,0.000361760642175757,0.067980854008861
"A0A140LHX5",-0.632905450611196,4.4702459330158,0.000392158420113993,0.0730170195982889
"ENSMUST00000061251.6",0.84849729851823,2.60397499305,0.000399949171633166,0.0737906221663191
"Q9CZS1",-0.687996084740056,3.45699447373098,0.000409329946671228,0.0745737287974285
"ENSMUST00000208263.2",1.4211413432367,0.993831974991984,0.00041154262750983,0.0745737287974285
"ENSMUST00000172202.2",0.700220418828893,3.90088174551533,0.000422752481144122,0.0759270938479642
"ENSMUST00000220392.2",1.47369987225962,0.591357189048312,0.000431797422487575,0.0768713042928539
"ENSMUST00000210665.2",-0.819514356670313,2.91297052440421,0.00044191715112181,0.0777440127802182
"P20029",-0.662170348018282,8.26935336344471,0.000447966141520695,0.0777440127802182
"Q8C5V4",-0.972739458729465,1.66570726142192,0.000449284502405544,0.0777440127802182
"ENSMUST00000151613.2",1.43703873163039,0.791142670516968,0.000452022345802698,0.0777440127802182
"Q02105",0.520965745254598,6.36073356351618,0.000455967682948462,0.0777635640793197
"ENSMUST00000182551.2",1.22031981394158,0.960633471350927,0.000462019475310413,0.0781390437618736
"E9QNZ2",-0.591534310936382,4.10008930185752,0.000470840484869469,0.0784545079079789
"ENSMUST00000154576.2",1.01567673798305,1.74096780650988,0.000475614010074144,0.0784545079079789
"O35565",-0.593588572957656,3.90319530537834,0.000476756223477545,0.0784545079079789
"ENSMUST00000210405.2",0.556239868974595,5.94928385354883,0.000479347572337491,0.0784545079079789
"ENSMUST00000194216.2",0.942896116367251,2.94524808424261,0.000497808936047234,0.080824258856629
