"","logFC","logCPM","PValue","FDR"
"Q8C767",1.85055225507583,8.56276357087432,1.13465772472926e-11,7.24597603293285e-08
"Q62264",3.00177237072347,7.25909455331741,1.17772873351204e-11,7.24597603293285e-08
"Q99LE2",-1.49701836779147,7.83720610639549,1.149437665397e-06,0.00471461015757003
"ENSMUST00000202226.2",-3.56520921011956,5.59212459057672,1.56185641939661e-06,0.00480466081016881
"ENSMUST00000184437.3",3.44310991077587,7.44031504820427,2.06009289275242e-06,0.00506988860906371
"Q08501",1.67948178481822,5.81739941575627,3.97318095936439e-06,0.0081483319508298
"ENSMUST00000201558.2",-2.32012835264596,3.34031032724711,5.23602229654352e-06,0.00920417919413829
"E9Q9S3",1.3707530230904,4.82383339554048,7.21846835637216e-06,0.0111029066406449
"ENSMUST00000146928.2",-3.0682229726244,2.76420553675332,1.43513295917719e-05,0.0196214567363059
"ENSMUST00000123601.2",-2.75162056404108,1.06316637117303,2.2854364159289e-05,0.0278064569595841
"Q61699",2.15271990023686,2.25376376135813,2.48574584766701e-05,0.0278064569595841
"Q920L5",1.31710757532145,6.74619797761921,3.53106100596027e-05,0.0337726279140372
"ENSMUST00000147868.2",-1.49127645974321,2.98341984437277,3.56801432655411e-05,0.0337726279140372
"B5TVM2",1.72287487634734,7.10604269879572,4.86760186047924e-05,0.0424966548367483
"E9QNZ9",2.01516880264245,2.44978887337299,5.18041302357761e-05,0.0424966548367483
"P19096",1.93501002235052,4.10635705029232,5.9751795648711e-05,0.0459528653410868
"ENSMUST00000040608.5",-2.88994422092288,0.588247451487171,7.32072292095498e-05,0.0471246102127674
"Q8QZW3",2.0423400736688,2.12930208350768,7.81556277001248e-05,0.0471246102127674
"Q8BXQ3",1.57115105274418,3.93738973672775,7.84642266140716e-05,0.0471246102127674
"ENSMUST00000172146.2",-1.22849404282998,6.4532177312163,7.91880420451119e-05,0.0471246102127674
"Q544F9",2.53170090165589,5.696976402715,8.04239589165473e-05,0.0471246102127674
"A0A0R4J0U3",1.71987934142837,4.95623690645463,9.36159013446553e-05,0.0504796878867354
"Q925Q3",-1.27933757348293,5.81982118167198,9.43545567976363e-05,0.0504796878867354
"P20029",1.35878886863957,9.874802535951,0.00011947266265063,0.0612546297465
"Q9R092",-1.0236891378614,7.46747056766648,0.000137574952921958,0.0677143918281878
"Q7TQD5",-1.05629520173319,8.86566256522973,0.000144477600680637,0.0683768029375092
"Q6W8Q3",3.06504763672599,2.47726158272771,0.000169483571632957,0.0757524359643328
"O70220",-1.75465457167611,5.48480046634715,0.000172374498740456,0.0757524359643328
"ENSMUST00000244381.1",-2.11151975003471,1.6435983024675,0.000194447290435443,0.0800761678591004
"ENSMUST00000197310.2",-1.80361742446424,1.22162016820164,0.00019522836536148,0.0800761678591004
"Q7TSE6",1.03836795919617,5.12337739373019,0.000219312906478921,0.0870530746523586
"ENSMUST00000185464.3",2.11600297688132,3.0240563498776,0.000250038570090036,0.0961476439049343
"Q9D2R0",1.63017101572661,5.9499608647728,0.000288152642133319,0.107446007922742
"A0A0R4J0E9",-1.40300796200985,4.38894551692394,0.000342270016108596,0.120458460991147
"Q9JKV7",3.05752378399634,2.83381255517364,0.000343916366413867,0.120458460991147
"Q9CR58",-1.358180311502,5.27347222212873,0.000352418089856262,0.120458460991147
"ENSMUST00000123115.2",-1.95085162080696,3.17978899501066,0.000402742086920387,0.133938956204199
"A2AEV7",-1.6558390607688,2.66136279663483,0.000413644258916706,0.13394454226237
"Q62395",-2.0060688754695,5.05320409433567,0.00045041723084653,0.14135128449832
"ENSMUST00000219340.2",-2.44944063685737,2.38439219692592,0.000462369194947684,0.14135128449832
"Q8BTW8",2.04600569008917,1.11390070939117,0.000481789882724352,0.14135128449832
"P31532",1.30952410501401,9.06249251153908,0.000482466797962572,0.14135128449832
"O35942",-1.96029990953413,2.02176407581944,0.000504859775520059,0.143189434729891
"Q6P4T0",-1.30218520378301,3.198855638224,0.000512014232272668,0.143189434729891
"ENSMUST00000205406.2",2.5589137763251,9.92204680936926,0.000527565498167929,0.144259854554586
"ENSMUST00000246479.1",-1.39117326175863,3.33180594864675,0.000585183887739198,0.156536689970236
"Q9JIW5",-0.973412189229807,5.45699213708345,0.000615326794683209,0.161097791671849
